tour,year,type,rank,rider,nationality,team
Tirreno-Adriatico,2021,stage_7,1,Wout van Aert,BEL,Team Jumbo–Visma
Tirreno-Adriatico,2021,stage_7,2,Stefan Küng,SUI,Groupama–FDJ
Tirreno-Adriatico,2021,stage_7,3,Filippo Ganna,ITA,Ineos Grenadiers
Tirreno-Adriatico,2021,stage_7,4,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2021,stage_7,5,Benjamin Thomas,FRA,Groupama–FDJ
Tirreno-Adriatico,2021,stage_7,6,Alberto Bettiol,ITA,EF Education–Nippo
Tirreno-Adriatico,2021,stage_7,7,João Almeida,POR,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_7,8,Kasper Asgreen,DEN,Deceuninck–Quick-Step
Tirreno-Adriatico,2021,stage_7,9,Michael Hepburn,AUS,Team BikeExchange
Tirreno-Adriatico,2021,stage_7,10,Tobias Ludvigsson,SWE,Groupama–FDJ
Tirreno-Adriatico,2022,stage_1,1,Filippo Ganna,ITA,Ineos Grenadiers
Tirreno-Adriatico,2022,stage_1,2,Remco Evenepoel,BEL,Quick-Step Alpha Vinyl Team
Tirreno-Adriatico,2022,stage_1,3,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2022,stage_1,4,Kasper Asgreen,DEN,Quick-Step Alpha Vinyl Team
Tirreno-Adriatico,2022,stage_1,5,Alex Dowsett,GBR,Israel–Premier Tech
Tirreno-Adriatico,2022,stage_1,6,Thymen Arensman,NED,Team DSM
Tirreno-Adriatico,2022,stage_1,7,Tobias Ludvigsson,SWE,Groupama–FDJ
Tirreno-Adriatico,2022,stage_1,8,Jos van Emden,NED,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_1,9,Mikkel Bjerg,DEN,UAE Team Emirates
Tirreno-Adriatico,2022,stage_1,10,Matteo Sobrero,ITA,Team BikeExchange–Jayco
Tirreno-Adriatico,2022,stage_2,1,Tim Merlier,BEL,Alpecin–Fenix
Tirreno-Adriatico,2022,stage_2,2,Olav Kooij,NED,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_2,3,Kaden Groves,AUS,Team BikeExchange–Jayco
Tirreno-Adriatico,2022,stage_2,4,Peter Sagan,SVK,Team TotalEnergies
Tirreno-Adriatico,2022,stage_2,5,Simone Consonni,ITA,Cofidis
Tirreno-Adriatico,2022,stage_2,6,Phil Bauhaus,GER,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_2,7,Davide Ballerini,ITA,Quick-Step Alpha Vinyl Team
Tirreno-Adriatico,2022,stage_2,8,Giacomo Nizzolo,ITA,Israel–Premier Tech
Tirreno-Adriatico,2022,stage_2,9,Jacopo Guarnieri,ITA,Groupama–FDJ
Tirreno-Adriatico,2022,stage_2,10,Andrea Vendrame,ITA,AG2R Citroën Team
Tirreno-Adriatico,2022,stage_3,1,Caleb Ewan,AUS,Lotto–Soudal
Tirreno-Adriatico,2022,stage_3,2,Arnaud Démare,FRA,Groupama–FDJ
Tirreno-Adriatico,2022,stage_3,3,Olav Kooij,NED,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_3,4,Nacer Bouhanni,FRA,Arkéa–Samsic
Tirreno-Adriatico,2022,stage_3,5,Tim Merlier,BEL,Alpecin–Fenix
Tirreno-Adriatico,2022,stage_3,6,Pascal Ackermann,GER,UAE Team Emirates
Tirreno-Adriatico,2022,stage_3,7,Phil Bauhaus,GER,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_3,8,Simone Consonni,ITA,Cofidis
Tirreno-Adriatico,2022,stage_3,9,Elia Viviani,ITA,Ineos Grenadiers
Tirreno-Adriatico,2022,stage_3,10,Matteo Moschetti,ITA,Trek–Segafredo
Tirreno-Adriatico,2022,stage_4,1,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2022,stage_4,2,Jonas Vingegaard,DEN,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_4,3,Victor Lafay,FRA,Cofidis
Tirreno-Adriatico,2022,stage_4,4,Remco Evenepoel,BEL,Quick-Step Alpha Vinyl Team
Tirreno-Adriatico,2022,stage_4,5,Giulio Ciccone,ITA,Trek–Segafredo
Tirreno-Adriatico,2022,stage_4,6,Tao Geoghegan Hart,GBR,Ineos Grenadiers
Tirreno-Adriatico,2022,stage_4,7,Enric Mas,ESP,Movistar Team
Tirreno-Adriatico,2022,stage_4,8,Wilco Kelderman,NED,Bora–Hansgrohe
Tirreno-Adriatico,2022,stage_4,9,Mikel Landa,ESP,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_4,10,Jai Hindley,AUS,Bora–Hansgrohe
Tirreno-Adriatico,2022,stage_5,1,Warren Barguil,FRA,Arkéa–Samsic
Tirreno-Adriatico,2022,stage_5,2,Xandro Meurisse,BEL,Alpecin–Fenix
Tirreno-Adriatico,2022,stage_5,3,Simone Velasco,ITA,Astana Qazaqstan Team
Tirreno-Adriatico,2022,stage_5,4,Nelson Oliveira,POR,Movistar Team
Tirreno-Adriatico,2022,stage_5,5,Richie Porte,AUS,Ineos Grenadiers
Tirreno-Adriatico,2022,stage_5,6,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2022,stage_5,7,Jonas Vingegaard,DEN,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_5,8,Enric Mas,ESP,Movistar Team
Tirreno-Adriatico,2022,stage_5,9,Remco Evenepoel,BEL,Quick-Step Alpha Vinyl Team
Tirreno-Adriatico,2022,stage_5,10,Jai Hindley,AUS,Bora–Hansgrohe
Tirreno-Adriatico,2022,stage_6,1,Tadej Pogačar,SLO,UAE Team Emirates
Tirreno-Adriatico,2022,stage_6,2,Jonas Vingegaard,DEN,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_6,3,Mikel Landa,ESP,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_6,4,Richie Porte,AUS,Ineos Grenadiers
Tirreno-Adriatico,2022,stage_6,5,Damiano Caruso,ITA,Team Bahrain Victorious
